,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
763,Briston Maroney,Small Talk,5kBYMymc2d3h164QqEHwRL,62,0.613,0.64,0,-7.637,1,0.0338,0.286,0.0,0.15,0.441,129.853,198809,4
764,King Von,Crazy Story,1BNvadXnbiSf3ZofMMdDYK,65,0.83,0.504,11,-8.92,1,0.452,0.014,2.74e-05,0.11,0.15,157.004,146773,4
765,88-Keys,That's Life (feat. Mac Miller & Sia),5h0Jgt873QtgL6nJRBGfT6,65,0.525,0.774,9,-4.532,1,0.241,0.24,1.07e-06,0.495,0.526,154.192,202391,4
766,DaBaby,Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,63,0.852,0.73,1,-5.803,1,0.0579,0.0219,0.0,0.336,0.394,92.506,157693,4
767,Kevin Gates,Bags,6LW1weIoMZML7FFTX5fRqv,61,0.732,0.732,5,-5.314,0,0.27,0.264,0.0,0.092,0.635,159.861,150000,4
768,Trippie Redd,Death,3Kd6Wp3lG5HXMB2dlvuy7y,64,0.802,0.82,10,-5.969,0,0.146,0.0579,0.0,0.149,0.613,164.005,172196,4
769,Lil Nas X,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,67,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,158707,4
770,Ayo & Teo,Fly N Ghetto,5PLe67zeDKnMamxEZi9LrA,68,0.907,0.59,7,-6.941,0,0.115,0.359,3.47e-05,0.107,0.407,99.982,148840,4
771,Juice WRLD,Rider,07Grx6opd6FcevHB0MG3r8,64,0.584,0.815,7,-4.257,1,0.0365,0.216,0.0,0.413,0.451,140.028,192094,4
772,LUCKI,Almost Back,176LvsOHbOXcgJgBBZ8wgs,62,0.764,0.456,2,-10.227,1,0.264,0.00994,0.925,0.111,0.227,125.965,91585,4
773,Quality Control,100 Racks (Offset feat. Playboi Carti),4T2dHb8XBYHlVj7Dyo1cW9,64,0.939,0.632,1,-2.978,1,0.137,0.0606,0.00136,0.101,0.364,133.979,157645,4
774,Luh Kel,Wrong,5UKYX8eywMafGPVzBlxsed,66,0.745,0.728,0,-3.39,1,0.0423,0.352,0.0,0.228,0.39,120.099,130876,4
775,Emma Shynes,Star of Bethlehem,1B96IivJCEW4s9d7yODqZa,64,0.617,0.0619,7,-20.933,1,0.151,0.995,0.916,0.111,0.139,75.68,187127,4
776,Miranda Lambert,Settling Down,53bZYxVbCYm6w1Gx8U64bz,62,0.643,0.756,6,-5.8,0,0.0305,0.0215,0.000268,0.101,0.934,90.001,197453,4
777,La Santa Grifa,Que Se Yo,3rKZuDrVxEcHLcHwIp2I2z,66,0.781,0.465,6,-11.028,0,0.268,0.0532,0.0,0.0933,0.451,102.986,205404,4
778,James Arthur,Falling Like The Stars,395KzBy0bkb57dEvg6cfzJ,72,0.552,0.347,6,-9.542,1,0.0303,0.79,2.15e-06,0.111,0.173,113.809,211653,4
779,Melanie Martinez,Lunchbox Friends,6viCrMdt8zgjOygIuJMC5X,66,0.696,0.574,3,-6.899,0,0.0949,0.404,0.0,0.0954,0.434,93.033,169869,4
780,Lil Darkie,HAHA,18Gcl5bxdd8bpBhWOj1rCR,63,0.714,0.82,1,-1.102,1,0.444,0.34,0.0,0.0801,0.904,78.032,160000,4
781,Yung Gravy,Whip A Tesla,6nsyYPCDUSacgXci9mvWln,64,0.814,0.527,9,-7.001,0,0.328,0.179,0.000512,0.0767,0.54,170.063,153733,4
